"File","IsRedirect","TextLength","Links","Images","Videos"
"areas-hsinchu.html","True","30","1","0","0"
"areas-miaoli.html","False","1742","60","5","1"
"areas-newtaipei.html","True","30","1","0","0"
"areas-taichung.html","True","30","1","0","0"
"areas-taipei.html","True","30","1","0","0"
"areas-taoyuan.html","True","30","1","0","0"
"areas-yilan.html","False","1151","59","5","0"
"areas.html","False","1510","77","2","0"
"case-brand-wine.html","False","1425","59","5","0"
"case-ceo-dinner.html","False","1447","59","5","0"
"case-chairman-longevity.html","False","1410","59","5","0"
"case-construction-banquet.html","False","1397","59","5","0"
"case-family-dinner.html","False","1400","59","5","0"
"case-luxury-birthday.html","False","1409","59","5","0"
"case-medical-banquet.html","False","1385","59","5","0"
"case-more.html","False","1344","59","5","0"
"case-opening.html","False","1376","59","5","0"
"case-press.html","False","1404","59","5","0"
"case-proposal.html","False","1415","59","5","0"
"case-tech-yearend.html","False","1423","59","5","0"
"case-yacht.html","False","1207","59","5","0"
"chef-award.html","False","1655","60","3","0"
"chef-brands.html","False","1123","59","2","0"
"chef-education.html","False","1169","65","2","0"
"chef-experience.html","False","1162","59","2","0"
"chef-hub.html","False","1174","75","2","0"
"chef-latest.html","False","1173","69","2","0"
"chef-lin.html","False","1204","59","2","0"
"chef-media.html","False","2489","86","2","1"
"chef-philosophy.html","False","1770","60","2","1"
"chef-story.html","False","1871","62","2","0"
"chef-teaching.html","False","1120","59","2","0"
"chef-team.html","False","1109","59","2","0"
"chef.html","False","3687","71","36","2"
"column-backstage-kitchen.html","False","1265","59","2","0"
"column-backstage-log.html","False","1200","59","2","0"
"column-backstage-prep.html","False","1326","59","2","0"
"column-backstage-purchase.html","False","1387","59","2","0"
"column-backstage-service.html","False","1216","59","2","0"
"column-beef.html","False","1390","59","2","0"
"column-budget.html","False","1273","59","2","0"
"column-case-birthday.html","False","1370","59","2","0"
"column-case-ceo.html","False","1295","59","2","0"
"column-case-family.html","False","1256","59","2","0"
"column-case-longevity.html","False","1236","59","2","0"
"column-case-luxury.html","False","1249","59","2","0"
"column-case-proposal.html","False","1248","59","2","0"
"column-caviar.html","False","1533","59","2","0"
"column-chef-table.html","False","1384","59","2","0"
"column-difference.html","False","1294","59","2","0"
"column-estimation.html","False","1258","59","2","0"
"column-fine-dining.html","False","1358","59","2","0"
"column-lobster.html","False","1451","59","2","0"
"column-plating.html","False","1219","59","2","0"
"column-price-catering.html","False","1217","59","2","0"
"column-price-chef.html","False","1219","59","2","0"
"column-private-chef.html","False","1225","59","2","0"
"column-private-cook.html","False","1245","59","2","0"
"column-scallop.html","False","1366","59","2","0"
"column-story-award.html","False","1204","59","2","0"
"column-story-each-dish.html","False","1131","59","2","0"
"column-story-first-dinner.html","False","1164","59","2","0"
"column-story-life.html","False","1125","59","2","0"
"column-story-market.html","False","1120","59","2","0"
"column-story-why-private.html","False","1112","59","2","0"
"column-truffle.html","False","1719","59","2","0"
"contact.html","False","1503","65","2","0"
"corporate-catering-afternoontea.html","False","1584","60","5","1"
"corporate-catering-brandlaunch.html","False","956","59","5","0"
"corporate-catering-cases.html","False","905","49","2","0"
"corporate-catering-menu.html","True","28","1","0","0"
"corporate-catering-price.html","True","28","1","0","0"
"corporate-catering-process.html","False","991","59","5","0"
"corporate-catering-springdinner.html","False","961","58","5","0"
"corporate-catering-tailend.html","False","2291","61","5","2"
"corporate-catering-tea.html","False","921","59","5","0"
"corporate-catering-vvip.html","False","1596","60","5","1"
"family-banquet-babyfullmoon.html","False","958","59","5","0"
"family-banquet-birthday.html","False","1424","59","5","1"
"family-banquet-cases.html","False","912","49","2","0"
"family-banquet-family.html","False","1574","60","5","1"
"family-banquet-firstyear.html","False","945","59","5","0"
"family-banquet-longevity.html","False","959","59","5","0"
"family-banquet-luxury.html","False","955","59","5","0"
"family-banquet-proposal.html","False","957","59","5","0"
"faq-booking.html","False","1327","49","2","0"
"faq-cleaning.html","False","1137","49","2","0"
"faq-drinks.html","False","1124","49","2","0"
"faq-equipment.html","False","1241","49","2","0"
"faq-invoice.html","False","1136","49","2","0"
"faq-menu.html","False","1238","49","2","0"
"faq-payment.html","False","1173","49","2","0"
"faq-price.html","False","1450","49","2","0"
"faq-special.html","False","1181","49","2","0"
"faq-vegetarian.html","False","1243","49","2","0"
"faq.html","False","2285","74","2","0"
"index.html","False","3859","87","11","0"
"ingredients-caviar.html","False","979","49","2","0"
"ingredients-farmer.html","False","974","49","2","0"
"ingredients-japan-a5.html","False","1607","50","2","1"
"ingredients-lobster.html","False","969","49","2","0"
"ingredients-scallop.html","False","950","49","2","0"
"ingredients-seasonal.html","False","1584","50","2","1"
"ingredients-truffle.html","False","949","49","2","0"
"ingredients-tuna.html","False","952","49","2","0"
"ingredients.html","False","2864","77","19","2"
"menu-10-plus.html","False","1111","49","2","0"
"menu-2-8.html","False","1119","49","2","0"
"menu-20.html","False","1088","49","2","0"
"menu-30.html","False","1148","49","2","0"
"menu-afternoontea.html","False","1059","49","2","0"
"menu-banquet.html","False","1095","49","2","0"
"menu-chinese.html","False","1710","50","2","1"
"menu-custom.html","False","1106","49","2","0"
"menu-vegan.html","False","1086","49","2","0"
"menu-vegetarian.html","False","1073","49","2","0"
"menu-western.html","False","1672","50","2","1"
"menu.html","False","5538","75","26","0"
"portfolio-banquet.html","False","1898","66","40","1"
"portfolio-bbq.html","False","1119","65","14","0"
"portfolio-chinese.html","False","1416","65","52","0"
"portfolio-corporate.html","False","3330","66","146","1"
"portfolio-teppanyaki.html","False","1202","65","17","0"
"portfolio-western.html","False","2105","66","65","1"
"portfolio.html","False","4348","85","72","4"
"pricing-afternoontea.html","False","973","49","2","0"
"pricing-buffet.html","False","998","49","2","0"
"pricing-chef-table.html","False","1011","49","2","0"
"pricing-corporate.html","False","983","49","2","0"
"pricing-custom.html","False","1004","49","2","0"
"pricing-fine-dining.html","False","972","49","2","0"
"pricing-luxury-home.html","False","954","49","2","0"
"pricing-private-chef.html","False","1064","59","2","0"
"pricing-springparty.html","False","947","49","2","0"
"pricing-yearend.html","False","978","49","2","0"
"private-chef-cases.html","False","900","49","2","0"
"private-chef-faq.html","True","28","1","0","0"
"private-chef-hsinchu.html","False","1263","58","5","0"
"private-chef-kaohsiung.html","False","1190","59","5","0"
"private-chef-menu.html","True","28","1","0","0"
"private-chef-newtaipei.html","False","1869","59","5","1"
"private-chef-price.html","True","28","1","0","0"
"private-chef-process.html","False","1198","59","5","0"
"private-chef-taichung.html","False","1800","59","5","1"
"private-chef-taipei.html","False","2019","59","5","1"
"private-chef-taoyuan.html","False","1291","58","5","0"
"private-chef.html","False","2800","81","22","1"
"service-structure.html","False","2056","208","2","0"
"services.html","False","2974","96","27","0"
"taipei-private-chef.html","True","30","1","0","0"
"vip-banquet-airplane.html","False","1055","59","5","0"
"vip-banquet-brand.html","False","1060","59","5","0"
"vip-banquet-cases.html","False","901","49","2","0"
"vip-banquet-chairman.html","False","1664","59","5","1"
"vip-banquet-fine-dining.html","False","1107","59","5","0"
"vip-banquet-highend.html","False","1697","60","5","1"
"vip-banquet-privateparty.html","False","1053","59","5","0"
